,Twitter Query: pelucas OR oncológicas OR cáncer OR donar OR donación #oncoayuda OR #donacabello OR #pelucasoncologicas OR #DiaMundialdelCancerdeMama OR #19deoctubre OR #bancodetapitas OR #cabezaenalto OR #octubrerosa -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
21/10/2020 18:03,@IDPedomex,Defensoría Pública Edoméx,#OctubreRosa | El cáncer de mama es curable si se detecta a tiempo. Infórmate en:,1319082017099661312,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek5SGeEUcAE6ABm.jpg,,0,0,Twitter for iPhone,1144,74,5,,10/8/2018,,Instituto de la Defensoría Pública del Estado de México. | @edomex | @SJyDH_Edomex,,,View
21/10/2020 18:00,@Edomex,Gobierno Edoméx,"#OctubreRosa | El cáncer de mama se puede detectar oportunamente. Para más información, consulta en:  o llama al 722 212 64 26, 55 58 78 64 02 o al 55 82 84 12 61. #PrevenirEsSalud",1319081036165181440,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/EkPThIkXYAIMO5t.jpg,,61,103,Twitter Media Studio,489822,136,896,✅,22/8/2008,Estado de México,Gobierno del Estado de México. #Edoméx,http://www.edomex.gob.mx,,View
21/10/2020 17:57,@RC_EDOMEX,RegistroCivil EDOMEX,Considera que los buenos hábitos alimenticios reducen el riesgo de padecer cáncer de mama. #OctubreRosa,1319080495767035907,,https://pbs.twimg.com/media/Ek5Qt74XIAE1cQT.jpg,,0,0,Twitter for iPhone,1151,186,7,,2/12/2016,"Toluca, México","Espacio de promoción, divulgación, quejas, dudas y sugerencias del Registro Civil en el Estado de México.",http://dgregistro_civil.edomex.gob.mx/,,View
21/10/2020 17:55,@npyoficial,NPY Oficial,"Lic. Gradys Moreira: ""El cáncer tiene un impacto emocional, desde el momento del diagnostico, hasta el tratamiento. Hay ocasiones que genera ansiedad y angustia y el médico no sabe como responder, por eso necesita el acompañamiento psicológico"". #OctubreRosa #Bocasdeltiempo #NPY",1319079834543337473,,pic.twitter.com/47sQova53l,,2,2,TweetDeck,160325,214,278,,24/6/2010,"Asunción, Paraguay","Canal 2 de AIRE, 6 y 606 HD de Tigo, 24 de Claro y 45 de Personal. Online http://npy.com.py Whatsapp de denuncias: (0981) 169 744",https://npy.com.py,,View
21/10/2020 17:55,@MunicipioTigre,Municipio de Tigre,"¡#BuenasNoches Tigre! Nos despedimos con esta postal del Palacio Municipal iluminado de rosa, en el mes de concientización sobre la lucha contra el Cáncer de Mama. ¡Controlate, los miedos no te salvan! #OctubreRosa 🎀",1319079796652056577,,https://pbs.twimg.com/media/Ek5QFLiXIAAu0gy.jpg,,5,21,Twitter for iPhone,68247,7160,152,✅,25/2/2010,"Tigre, Buenos Aires",Cuenta Oficial del Municipio de Tigre. Facebook: http://fb.com/TigreMunicipio Respondemos todas las consultas por DM,http://www.tigre.gov.ar/prensa,,View
21/10/2020 17:50,@vanessa_1979,Vanessa Tayssoun,"#DíaMundialDelCancerDeMama #MujeresXLaVida #Tócate #Autoexplorate Charla Mitos y Leyendas del #CancerDeMama Hay vida después del cáncer 🎀 Cáncer no es muerte, cáncer es aptitud y salir adelante 💖 @ActivismoPJ @Pr1meroJusticia",1319078660654223361,,https://pbs.twimg.com/media/Ek5PDQIXIAAdgx3.jpg,,3,2,Twitter for Android,928,1279,2,,20/6/2010,Puerto Ordaz,Mamá de 3.. Abogado ⚖ Asistente Parlamentaria @AsambleaVE Secretaria de Organización @PJ_Caroni Militante de @Pr1meroJusticia soy 🇻🇪 con 🇱🇧,,,View
21/10/2020 17:49,@DIFSolidaridad1,DIF Solidaridad,Conoce algunos de los testimonios detrás de la lucha contra el cáncer de mamá. #DIFRosa #OctubreRosa,1319078467745492993,,pic.twitter.com/iTe3fd4coV,,0,0,Twitter for Android,644,141,2,,4/10/2018,"Playa del Carmen, Solidaridad",Sistema Integral de la Familia de Solidaridad. #DIFRosa #SolidaridadRosa FB: 👉 https://bit.ly/2HiiLyc 👈 IG: 👉 https://bit.ly/2T4GR1W👈,http://www.difsolidaridad.gob.mx/sitio/,,View
21/10/2020 17:40,@RosyAscencioO,Rosy Ascencio,"🔹Esta tarde acudimos a las Colonias Valle del Guadiana y San Carlos con las ""Brigadas Médicas en Acción"" con el objetivo de fomentar la revisión y la prevención del cáncer de mama🌺. #SúmateALaAcción #OctubreRosa #RegidorEsPAN",1319076067961933826,,https://pbs.twimg.com/media/Ek5KLQVXIAEEPDD.jpg,,1,8,Twitter Web App,850,372,2,,7/9/2019,Durango Dgo. Mexico,•Primer Regidora del Ayuntamiento Durango 2019-2022 #RegidorEsPAN ||Miembro del Consejo Directivo de #CONAR como Vocal de Equidad de Género♀️♂️.,,,View
21/10/2020 17:33,@npyoficial,NPY Oficial,"Dr Miguel Agüero: ""El año pasado tuvimos 560 mujeres diagnosticadas con cáncer de mama solo en el INCAN y hoy tenemos 350 casos registrados en la misma institución, a eso hay que sumarle los de IPS y del sector privado"". #OctubreRosa #Bocasdeltiempo #NPY",1319074446162956289,,pic.twitter.com/bZ1RBhLO3S,,4,4,TweetDeck,160325,214,278,,24/6/2010,"Asunción, Paraguay","Canal 2 de AIRE, 6 y 606 HD de Tigo, 24 de Claro y 45 de Personal. Online http://npy.com.py Whatsapp de denuncias: (0981) 169 744",https://npy.com.py,,View
21/10/2020 17:30,@MrciCorporativo,MRCI Corporativo,"🎀 Octubre es el Mes de Lucha contra el Cáncer de mama, invitamos a todos a que se sumen a esta campaña de concientización 👩‍ #MiLuchaEsRosa #CáncerDeMama #OctubreRosa #MRCI #FamiliaMRCI",1319073484035612672,,https://pbs.twimg.com/media/Ekx5S24WkAEbkLl.jpg,,0,0,TweetDeck,1819,936,19,,4/6/2010,"Oaxaca, México","EMPRENDEDORES integrado por especialistas, asesores empresariales, abogados y fiscalistas, Corporativo orgullosamente mexicano.",http://www.mrci.com.mx,,View
21/10/2020 16:42,@ONMPRI_Dgo,ONMPRI Municipal Durango,"Recuerda sintonizar nuestro #CaféDigital ☕️ ""Superando el cáncer de mama"" con Marcela Hernández. 📅 Lunes 26 de octubre 🕑 5:00 PM 🎀 #NosQueremosNosCuidamos #OctubreRosa #PrevenirEsVivir",1319061501421015040,,https://pbs.twimg.com/media/Ek4_b9EXIAE1J3f.jpg,,1,3,Twitter for Android,786,832,2,,29/6/2011,"Durango, México",Organismo de Mujeres Priístas en el Municipio de Durango #MujeresPRI,https://www.facebook.com/onmpri.dgo.1,,View
21/10/2020 16:40,@PlazaColonia,Club Plaza Colonia,"ESCUCHALAS ! Nuestras gurisas del Handball tienen algo para decirte. Orgullosos de esta nueva generación que crece con educación, conciencia y sin prejuicios. El cáncer de mama puede curarse si se detecta a tiempo. #OctubreRosa #CancerDeMama",1319060948355862528,,pic.twitter.com/0QBIq8Netm,,2,24,Twitter for iPhone,102994,867,123,✅,10/3/2011,COLONIA - URUGUAY,"Plaza Colonia es el Club Profesional, Decano y el de mayor cantidad de títulos conseguidos en el Dpto. de Colonia. Fundado el 22 de Abril de 1917. #SomosColonia",http://plazacolonia.org,,View
21/10/2020 16:36,@TenekUxumchik,Tének Uxumchik = Mujeres Huastecas,💕Al donar tu cabello haces feliz a una mujer con cáncer. Recibimos donaciones de cabello con un mínimo de 30 a 35 cms ya trenzado. #MesRosa #mesdelasensibilizaciondelcancerdemama #OctubreRosa #MujeresEnSororidad #SLP #Autoexploracion #PrevenirEsSalud,1319059959221542913,,https://pbs.twimg.com/media/Ek4-Cq8XEAMyOwL.jpg,,0,1,Twitter for Android,184,509,1,,25/3/2018,"San Luis Potosí, México",Bienvenid@s somos una Asociación Civil que brinda ayuda en diferentes ámbitos a las familias mas vulnerables🤗,,,View
21/10/2020 16:35,@Actinver,Actinver,"🎀 #OctubreRosa El cáncer de mama es de las principales causas de muerte en las mujeres mexicanas. Conoce #PREVICÁNCER, un Seguro Individual de Gastos Médicos Mayores que te brinda protección en caso de esta enfermedad.  👉",1319059836491993095,"https://bit.ly/3jsa4Pf
https://bit.ly/2ITvqIB",,,0,1,HubSpot,19185,3687,188,✅,23/6/2010,México,Twitter oficial de Actinver. Entérate de las últimas noticias y eventos de enfoque patrimonial que te ayudarán a alcanzar tus objetivos financieros.,http://www.actinver.com/,,View
21/10/2020 16:35,@VPITV,VPItv,"El cáncer de mama no distingue de género, raza o posición económica. ¡Revísate con frecuencia! #OctubreRosa",1319059658091409408,,https://pbs.twimg.com/media/Ek49xN3X0AEW17c.jpg,,4,3,Hootsuite Inc.,537519,565,1168,✅,18/12/2015,Venezuela,Canal de Noticias EN VIVO 🔴 I Mira nuestra señal aquí: I https://bit.ly/2FXPNmo I Youtube I ROKU | Apple TV | APP | Web |,http://www.vpitv.com,,View
21/10/2020 16:30,@TenekUxumchik,Tének Uxumchik = Mujeres Huastecas,💕Al donar tu cabello haces feliz a una mujer con cáncer. Recibimos donaciones de cabello con un mínimo de 30 a 35 cms ya trenzado. #MesRosa #mesdelasensibilizaciondelcancerdemama #OctubreRosa #MujeresEnSororidad,1319058400408469505,,https://pbs.twimg.com/media/Ek48n3eXgAIyG4m.jpg,,0,0,Twitter for Android,184,509,1,,25/3/2018,"San Luis Potosí, México",Bienvenid@s somos una Asociación Civil que brinda ayuda en diferentes ámbitos a las familias mas vulnerables🤗,,,View
21/10/2020 16:23,@FotoTiempo,FotoTiempo,La detección temprana salva vidas. Es importante realizarse una autoexploración para un diagnóstico precoz y ganarle la batalla al cáncer. #SacaPechoPorEllas #TocateParaQueNoTeToque #19Octubre #OctubreRosa #DíaMundialCáncerMama,1319056709051060225,,https://pbs.twimg.com/media/Ek47Dx2UUAIu3Jt.jpg,,0,0,Twitter Web App,3,17,0,,15/6/2020,Av. Rafael Atlixco #1142 Col. ,"Fotografía-Vídeo para Sesión de Bodas, Bautizos, Comuniones, Eventos Sociales, XV Años, Ceremonias de Graduación, y demás acontecimientos. Cel: 55 1290 4935",,,View
21/10/2020 16:19,@DamianBarisch,Damian Barischpolski,"No es una moda. #OctubreRosa es el mes de la toma de conciencia sobre el Cáncer de Mama. Compartiendo este video ya haces una bocha, porque mucha gente no sabe todavía que lo tiene y todavía pueden solucionarlo. Si lo agarrás a tiempo, estás a tiempo. #Tocate",1319055865043947520,,pic.twitter.com/R98F1GspyJ,,4,11,Twitter for iPhone,7751,1156,96,,29/10/2011,Argentina,"Padre y fan de 2 increíbles pibitas. Periodista. #STC2000 #TC2000 #Dakar #TopRace #F1 INADI. Lo que piense puede no coincidir con vos, pero lo puedo soportar",https://diariodakar.wordpress.com/,,View
21/10/2020 16:11,@SGGEdomex,SGG Edoméx,"#OctubreRosa | La detección temprana del cáncer de mamas la acción más importante en la lucha contra esta enfermedad. #ÉchaleUnaManoATuSalud e infórmate en:  o llama al 722 212 64 26, 55 58 78 64 02 o al 55 82 84 12 61.",1319053602191597568,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ejrnu-cWoAAkz9H.jpg,,3,13,Twitter Media Studio,48835,558,112,✅,16/9/2011,Toluca,Secretaría General de Gobierno del @Edomex,http://sgg.edomex.gob.mx/,,View
21/10/2020 16:03,@EducaTele,EDUCA,"Una alimentación balanceada, hacer ejercicio y evitar el consumo de alcohol y cigarrillo son formas de prevenir el desarrollo de cáncer mamario. . #OctubreRosa #CáncerDeMama",1319051714415218692,,pic.twitter.com/Hu8T4FnQIB,,0,0,Twitter Web App,4924,75,23,,6/6/2013,"Quito, Ecuador",Ecuador ya tiene una televisión para aprender. https://www.facebook.com/EducaTele,http://www.educa.ec,,View
21/10/2020 16:00,@IMSS_Mor,IMSS Morelos,"#OctubreRosa es el mes de sensibilización sobre el #CáncerDeMama 🎀 ""El cáncer de mama es curable cuando se detecta a tiempo"".",1319050943175032832,,https://pbs.twimg.com/media/Ek4118bW0AMZJCg.jpg,,2,2,Hootsuite Inc.,1874,226,14,,7/6/2016,"Cuernavaca, Morelos",#IMSSMorelos,http://www.imss.gob.mx,,View
21/10/2020 15:55,@cocodrilosbbc,Cocodrilos de Caracas,Estamos en el mes de sensibilización sobre el cáncer de mama y te regalamos wallpapers 📲 con las jugadoras de la selección nacional. #OctubreRosa💗,1319049625370767364,,https://pbs.twimg.com/media/Ek40nqlWAAAkMmX.jpg,,8,34,Twitter for Android,73008,135,430,,8/2/2010,"Caracas, Venezuela.","Campeón🏆 de la LPB: 1992, 2000, 2008, 2010, 2013 y 2015-16. Síguenos en Instagram, Facebook, TikTok y YouTube: cocodrilosbbc.",http://www.cocodrilosbbc.com,,View
21/10/2020 15:43,@ArturoH19772369,Arturo Hernández,#ÉchaleUnaManoATuSalud | El cáncer de mama se puede detectar oportunamente. ¡Autoexplórate!. #PrevenirEsSalud #OctubreRosa @geramonro05 @TinocoGRogelio,1319046792286105601,,https://pbs.twimg.com/media/Ek4yEOpU0AAu9KS.jpg,,11,14,Twitter for iPhone,2110,488,3,,2/12/2017,"Toluca, México",Director de Coordinación Regional de Educación Básica,,,View
21/10/2020 15:34,@SecretariadoGEM,Secretariado EdoMéx,"El cáncer de mama se puede detectar oportunamente. #ÉchaleUnaManoATuSalud #OctubreRosa RT @SS_Edomex: #OctubreRosa | En la lucha contra el cáncer de mama es importante la detección temprana. #ÉchaleUnaManoATuSalud y llama al 722 212 64 26, 55 58 78 64 02 o al 55 82 84 12 61",1319044512484917248,https://twitter.com/SS_Edomex/status/1319043286594535430,https://pbs.twimg.com/media/Ek4je_KXUAAmcfN.jpg,,13,20,Twitter for Android,8727,625,29,,20/5/2014,Edoméx,Secretariado Ejecutivo del Sistema Estatal de Seguridad Pública del Estado de México.,https://www.facebook.com/SecretariadoGEM,,View
21/10/2020 15:34,@JilotepecSreb,SREB JILOTEPEC,#OctubreRosa | El cáncer de mama se puede detectar oportunamente mediante diagnósticos y la autoexploración. #PrevenirEsVivir,1319044376702701568,,https://pbs.twimg.com/media/Ek4v3sKW0AY17hO.jpg,,7,11,Twitter for Android,552,192,0,,29/10/2019,"Col. La Merced, Jilotepec",Profr. Rogelio Valencia Cisneros Subdirector Regional de Educación Básica,,,View
21/10/2020 15:31,@Bancaribe,Bancaribe,Nos sumamos a #OctubreRosa🎀 mes dedicado a la sensibilización sobre la lucha contra el cáncer de mama. No olvides la importancia de la autoexploración. Prevenir ¡Salva vidas!,1319043545983057921,,https://pbs.twimg.com/media/Ek4vHQyW0AMLuny.jpg,,0,1,SocialGest,100296,23947,473,,2/3/2010,Venezuela,"¿Tienes dudas sobre cómo utilizar algunos de nuestros productos, servicios o canales? ¿Quieres manejar mejor tus finanzas personales? Para eso estamos aquí",http://www.bancaribe.com.ve,,View
21/10/2020 15:30,@DG_RegPub,DG Registro Público,"#OctubreRosa, recuerda que el cáncer de mama se puede detectar oportunamente. #PrevenirEsSalud #ÉchaleUnaManoATuSalud @SaludEdomex @Edomex",1319043363094614018,,https://pbs.twimg.com/media/Ek4u8u5WMAU-Gy4.jpg,,0,0,Hootsuite Inc.,796,80,5,,22/11/2016,Estado de México,Dirección General del Registro Estatal de Transporte Público.,https://twitter.com/SEMOV_Edomex,,View
21/10/2020 15:30,@SS_Edomex,Seguridad #Edoméx,"#OctubreRosa | En la lucha contra el cáncer de mama es importante la detección temprana. #ÉchaleUnaManoATuSalud y llama al 722 212 64 26, 55 58 78 64 02 o al 55 82 84 12 61",1319043286594535430,,https://pbs.twimg.com/media/Ek4je_KXUAAmcfN.jpg,,57,56,Twitter Media Studio,146904,557,421,✅,2/11/2011,"Toluca, México",Secretaría de Seguridad del @Edomex.,http://sseguridad.edomex.gob.mx,,View
21/10/2020 15:30,@FiscaliaEdomex,Fiscalía Edoméx,"Si tienes entre 40 y 69 años, asiste con tu especialista cada año para que te realice una mastografía; recuerda que el cáncer de mama se puede detectar a tiempo. #CáncerDeMama, #OctubreRosa.",1319043285780844544,,https://pbs.twimg.com/media/Ektn959XUAAk0B6.jpg,,5,9,Twitter for Advertisers (legacy),81246,453,244,✅,3/11/2011,Estado de México,Fiscalía General de Justicia del @Edomex.,http://fgjem.edomex.gob.mx/,,View
21/10/2020 15:21,@RebecaSaldaa13,Rebeca Saldaña,#OctubreRosa ¡Infórmate sobre el cáncer de mama! Recuerda que tiene cura si se de detecta a tiempo. #EchaleUnaManoATuSalud #PrevenirEsSalud @SaludEdomex @Edomex,1319041139161419778,,https://pbs.twimg.com/media/Ek4s7PNXUAA9Yg4.jpg,,2,2,Twitter for Android,504,22,1,,4/4/2019,,Subdirectora Regional de Educación Básica Toluca,,,View
21/10/2020 15:14,@CONVIVEedomex,CONVIVE,"Mes de sensibilización #OctubreRosa, sobre el cáncer de mama. #ÉchaleUnaManoATuSalud. Un diagnóstico temprano y oportuno incrementa las probabilidades de curación. Infórmate en:  o llama al 722 212 64 26, 55 58 78 64 02 o al 55 82 84 12 61. @SaludEdomex",1319039331059814402,http://salud.edomex.gob.mx,https://pbs.twimg.com/media/Ek4rLjfXgAMJnAY.jpg,,0,1,Twitter Web App,2114,130,5,,27/11/2017,,Consejo para la Convivencia Escolar. | @SEDUCedomex @edomex,,,View
21/10/2020 15:10,@LetyAguirre8,Lety Aguirre,El cáncer de mama se puede detectar oportunamente. #OctubreRosa #EchaleUnaManoATuSalud,1319038278599925760,,https://pbs.twimg.com/media/Ek4qUnrXYAE7hfi.jpg,,1,0,Twitter for iPhone,473,38,1,,4/4/2019,,Subdirectora Regional de Educación Básica Ixtapan de la Sal,,,View
21/10/2020 15:07,@comecyt,Ciencia Edomex,A partir de los 40 años realízate una mastografía. Recuerda que el cáncer de mama se puede detectar a tiempo. #PrevenirEsSalud #OctubreRosa #EchaleUnaManoATuSalud,1319037496035020800,,https://pbs.twimg.com/media/Ek3gh_3WkAEnQIT.jpg,,1,0,TweetDeck,10378,1119,171,,22/6/2010,"Toluca, México","Promueve el avance científico y tecnológico, vincula a los sectores productivo y social con centros de investigación científica y desarrollo tecnológico",http://comecyt.edomex.gob.mx,,View
